,Open,High,Low,Close,Volume,Daily Range
2024-07-09,391.22,392.34,389.64,390.72,627079,2.6999999999999886
2024-07-10,392.52,392.52,387.98,391.05,636579,4.539999999999964
2024-07-11,390.36,392.8002,386.53,388.69,604886,6.270200000000045
2024-07-12,389.3,394.5,388.84,390.16,482627,5.660000000000025
2024-07-15,390.34,394.6,390.06,394.39,535002,4.5400000000000205
2024-07-16,395.56,398.88,394.74,396.07,514368,4.139999999999986
2024-07-17,395.06,396.035,391.1,393.71,523795,4.935000000000002
2024-07-18,393.99,395.72,392.39,394.46,397266,3.330000000000041
2024-07-19,396.85,396.85,388.77,390.19,809346,8.080000000000041
2024-07-22,392.27,396.28,390.77,396.15,596488,5.509999999999991
2024-07-23,396.32,399.6196,395.805,396.55,444689,3.8145999999999844
2024-07-24,395.05,395.355,389.51,390.6,541739,5.845000000000027
2024-07-25,393.15,395.0448,385.17,385.65,827626,9.874799999999993
2024-07-26,385.6,395.85,385.6,393.71,408125,10.25
2024-07-29,394.11,397.75,393.92,395.42,351179,3.829999999999984
2024-07-30,397.63,402.56,393.97,395.33,544222,8.589999999999975
2024-07-31,398.24,400.9,395.88,398.92,678373,5.019999999999982
2024-08-01,399.86,403.53,394.23,398.58,857177,9.299999999999955
2024-08-02,399.52,410.67,396.11,410.3,1293684,14.560000000000002
2024-08-05,400.01,410.7675,396.7,399.64,1407944,14.067499999999995
2024-08-06,401.36,411.9,401.36,402.85,1562170,10.539999999999964
2024-08-07,407.69,412.64,404.07,404.34,950328,8.569999999999993
2024-08-08,405.85,412.88,403.2,412.18,484183,9.680000000000007
2024-08-09,411.5,413.28,406.59,410.76,340434,6.689999999999998
2024-08-12,410.76,414.03,408.92,412.76,486311,5.109999999999957
2024-08-13,413.55,417.43,411.84,412.0,782880,5.590000000000032
2024-08-14,411.2,419.57,411.2,418.59,1022827,8.370000000000005
2024-08-15,420.38,424.55,418.38,421.94,630821,6.170000000000016
2024-08-16,422.55,423.47,418.98,421.37,438176,4.490000000000009
2024-08-19,422.01,423.26,420.38,422.44,411952,2.8799999999999955
2024-08-20,424.41,426.87,423.61,426.38,425909,3.259999999999991
2024-08-21,425.84,429.32,424.09,425.72,708459,5.230000000000018
2024-08-22,426.78,427.4203,423.05,424.46,660506,4.370299999999986
2024-08-23,426.54,430.76,425.56,430.4,680885,5.199999999999989
2024-08-26,431.29,433.28,428.28,430.23,475165,5.0
2024-08-27,430.83,433.51,430.535,432.36,626008,2.974999999999966
2024-08-28,433.96,436.45,433.0474,435.21,418696,3.4026000000000067
2024-08-29,435.0,439.14,435.0,437.15,393173,4.139999999999986
