,Open,High,Low,Close,Volume,Daily Range
2024-07-10,262.8,267.59,257.86,263.26,128519430,9.729999999999961
2024-07-11,263.3,271.0,239.65,241.03,221707273,31.349999999999994
2024-07-12,235.8,251.84,233.0912,248.23,155955773,18.748800000000017
2024-07-15,255.97,265.6,251.73,252.64,146912920,13.870000000000033
2024-07-16,255.31,258.62,245.8001,256.56,126332470,12.819900000000018
2024-07-17,252.73,258.47,246.182,248.5,115584810,12.28800000000004
2024-07-18,251.09,257.14,247.2,249.23,110869037,9.939999999999998
2024-07-19,247.79,249.44,236.83,239.2,87403903,12.609999999999985
2024-07-22,244.21,253.21,243.75,251.51,101225430,9.460000000000008
2024-07-23,253.6,255.7594,245.63,246.38,111928192,10.129400000000004
2024-07-24,225.42,225.99,214.71,215.99,167942939,11.280000000000001
2024-07-25,216.8,226.0,216.231,220.25,100636466,9.769000000000005
2024-07-26,221.19,222.2799,215.33,219.8,94604145,6.949899999999985
2024-07-29,224.9,234.27,224.7,232.1,129201789,9.570000000000022
2024-07-30,232.25,232.41,220.0,222.62,100560334,12.409999999999997
2024-07-31,227.9,234.68,226.7875,232.07,67497011,7.8925000000000125
2024-08-01,227.69,231.867,214.3328,216.86,83861898,17.5342
2024-08-02,214.88,216.13,205.78,207.67,82880120,10.349999999999994
2024-08-05,185.22,203.8799,182.0,198.88,100308836,21.879899999999992
2024-08-06,200.75,202.9,192.67,200.64,73783942,10.230000000000018
2024-08-07,200.77,203.49,191.48,191.76,71159778,12.01000000000002
2024-08-08,195.7,200.7,192.04,198.84,65033874,8.659999999999997
2024-08-09,197.05,200.88,195.11,200.0,58648274,5.769999999999982
2024-08-12,199.02,199.26,194.67,197.49,64044903,4.590000000000003
2024-08-13,198.47,208.49,197.06,207.83,76247387,11.430000000000007
2024-08-14,207.39,208.44,198.75,201.38,70250014,9.689999999999998
2024-08-15,205.02,215.88,204.82,214.14,89848530,11.060000000000002
2024-08-16,211.15,219.8,210.8,216.12,88765122,9.0
2024-08-19,217.07,222.98,214.09,222.72,76435222,8.889999999999986
2024-08-20,224.88,228.22,219.56,221.1,74001182,8.659999999999997
2024-08-21,222.67,224.6594,218.86,223.27,70145964,5.7993999999999915
2024-08-22,223.82,224.8,210.32,210.66,79514482,14.480000000000018
2024-08-23,214.455,221.48,214.21,220.32,81525207,7.269999999999982
2024-08-26,218.75,219.09,211.01,213.21,59301187,8.080000000000013
2024-08-27,213.25,215.66,206.94,209.21,62821390,8.719999999999999
