,Open,High,Low,Close,Volume,Daily Range
2024-07-10,70.1,70.44,69.72,70.41,10803405,0.7199999999999989
2024-07-11,70.18,70.45,69.26,69.8,15624796,1.1899999999999977
2024-07-12,69.9,70.0299,69.17,69.24,12145317,0.8598999999999961
2024-07-15,69.3,69.975,69.3,69.61,10171137,0.6749999999999972
2024-07-16,69.82,70.24,69.58,69.99,9836824,0.6599999999999966
2024-07-17,70.18,71.1,69.95,71.03,13533791,1.1499999999999915
2024-07-18,70.68,71.19,70.43,70.82,10682742,0.7599999999999909
2024-07-19,71.2,71.33,70.65,70.75,11665526,0.6799999999999926
2024-07-22,70.86,71.26,70.2301,70.38,12666130,1.029900000000012
2024-07-23,70.47,70.7,70.11,70.65,9263561,0.5900000000000034
2024-07-24,70.52,70.84,70.34,70.6,22490783,0.5
2024-07-25,70.6,70.77,69.95,70.02,18821199,0.8199999999999932
2024-07-26,70.23,70.235,68.83,69.78,16789306,1.4050000000000011
2024-07-29,69.85,69.9,69.13,69.62,10315305,0.7700000000000102
2024-07-30,69.55,69.845,68.98,69.19,12522469,0.8649999999999949
2024-07-31,69.18,69.25,68.29,68.64,22908760,0.9599999999999937
2024-08-01,68.91,69.8,68.52,69.79,17275532,1.2800000000000011
2024-08-02,69.6,70.235,67.74,68.46,23578664,2.4950000000000045
2024-08-05,68.1,68.58,66.91,67.59,20770455,1.6700000000000017
2024-08-06,67.84,68.63,67.68,67.74,14815072,0.9499999999999886
2024-08-07,67.87,68.01,66.81,66.91,18499200,1.2000000000000028
2024-08-08,66.84,67.9199,66.67,67.66,12489819,1.2498999999999967
2024-08-09,67.85,68.22,67.33,67.95,13805576,0.8900000000000006
2024-08-12,68.34,69.225,68.07,68.7,17385278,1.1550000000000011
2024-08-13,68.43,68.61,67.14,68.13,26557901,1.4699999999999989
2024-08-14,67.92,68.79,67.85,68.66,22928551,0.9400000000000119
2024-08-15,74.12,74.44,72.78,73.18,49567500,1.6599999999999966
2024-08-16,72.7,73.605,72.52,73.45,19872144,1.085000000000008
2024-08-19,73.39,73.98,73.34,73.72,13709265,0.6400000000000006
2024-08-20,73.75,74.75,73.72,74.54,14433985,1.0300000000000011
2024-08-21,75.3,75.58,74.59,75.24,14831992,0.9899999999999949
2024-08-22,75.37,76.22,75.15,75.58,16511139,1.0699999999999932
2024-08-23,75.6,75.81,75.0077,75.7,12299093,0.8023000000000025
2024-08-26,75.9,76.205,75.57,76.03,9508215,0.6350000000000051
2024-08-27,76.45,76.45,75.77,76.13,11557762,0.6800000000000068
2024-08-28,76.28,76.43,75.805,76.08,9814264,0.625
2024-08-29,75.99,76.47,75.67,76.42,11856787,0.7999999999999972
2024-08-30,76.44,77.475,76.22,77.23,23229975,1.2549999999999955
2024-09-03,77.33,77.81,76.795,77.17,22666144,1.0150000000000006
2024-09-04,77.33,77.48,76.73,77.24,17989964,0.75
2024-09-05,77.25,77.45,76.39,76.96,13082893,1.0600000000000023
2024-09-06,76.9,77.32,76.3,76.64,14548588,1.019999999999996
2024-09-09,76.85,77.47,76.49,77.34,22260226,0.980000000000004
2024-09-10,77.35,78.9,77.28,78.81,17686284,1.6200000000000045
2024-09-11,78.38,78.92,77.565,78.84,19518761,1.355000000000004
2024-09-12,78.99,79.905,78.6221,79.66,14884852,1.282899999999998
2024-09-13,79.82,80.685,79.69,80.6,12994100,0.9950000000000045
2024-09-16,80.84,81.02,80.14,80.56,15346367,0.8799999999999955
2024-09-17,79.76,80.26,78.26,78.6,21065938,2.0
2024-09-18,78.64,79.41,78.28,79.03,15684878,1.1299999999999955
2024-09-19,79.05,79.09,77.49,78.04,21525685,1.6000000000000085
2024-09-20,78.23,79.61,78.11,79.06,39534251,1.5
2024-09-23,79.07,80.4374,79.07,80.33,12147264,1.3674000000000035
2024-09-24,80.48,80.91,80.24,80.67,14651133,0.6700000000000017
2024-09-25,80.89,81.6,80.68,81.4,14163785,0.9199999999999875
2024-09-26,81.04,81.2,79.26,79.92,17061133,1.9399999999999977
2024-09-27,79.9,80.2875,79.6,79.78,11899050,0.6875
2024-09-30,79.89,80.94,79.86,80.75,19008187,1.0799999999999983
2024-10-01,80.68,81.53,80.435,81.27,16054249,1.0949999999999989
2024-10-02,80.99,80.99,80.12,80.43,16618272,0.8699999999999903
2024-10-03,80.3,80.575,79.85,80.43,11640421,0.7250000000000085
2024-10-04,80.05,81.115,79.85,80.94,11591388,1.2650000000000006
2024-10-07,80.69,80.94,78.98,79.1,16791646,1.9599999999999937
2024-10-08,79.62,79.82,79.07,79.71,15269963,0.75
2024-10-09,79.82,80.5,79.75,80.4,12413030,0.75
2024-10-10,80.31,80.32,79.46,79.61,10812700,0.8599999999999994
2024-10-11,79.7,80.13,79.37,80.1,9570734,0.7599999999999909
2024-10-14,80.05,80.51,79.76,80.29,9914477,0.75
2024-10-15,80.67,81.8201,80.51,81.65,13276221,1.3100999999999914
2024-10-16,81.53,81.66,80.62,81.22,11123254,1.039999999999992
2024-10-17,81.27,81.5,80.645,80.89,9424705,0.855000000000004
2024-10-18,80.87,81.69,80.66,81.31,12324148,1.0300000000000011
2024-10-21,81.23,81.5496,80.72,80.81,9750376,0.8295999999999992
2024-10-22,81.11,82.225,80.825,82.02,12240149,1.3999999999999915
2024-10-23,81.89,83.34,81.8,83.27,13058244,1.5400000000000063
2024-10-24,82.96,83.315,82.58,83.04,11645856,0.7349999999999994
2024-10-25,83.2,83.3,82.435,82.51,8959412,0.8649999999999949
2024-10-28,82.75,83.08,82.47,82.75,7990186,0.6099999999999994
2024-10-29,82.67,82.86,81.665,81.7,9682403,1.1949999999999932
2024-10-30,81.6,81.83,81.3,81.39,9268824,0.5300000000000011
2024-10-31,81.29,82.44,81.22,81.95,15538968,1.2199999999999989
2024-11-01,82.53,82.53,81.54,82.19,12181833,0.9899999999999949
2024-11-04,82.2,82.905,82.0,82.45,11731043,0.9050000000000011
2024-11-05,82.68,83.77,82.51,83.68,10612489,1.259999999999991
2024-11-06,85.14,85.54,82.06,83.44,19974038,3.480000000000004
2024-11-07,83.72,84.39,83.42,83.85,12665777,0.9699999999999989
2024-11-08,84.28,85.42,84.23,84.83,14396543,1.1899999999999977
2024-11-11,84.95,85.41,84.12,84.21,10433166,1.289999999999992
2024-11-12,84.5,85.53,84.5,84.99,12860194,1.0300000000000011
2024-11-13,84.99,85.79,84.77,85.5,12802622,1.0200000000000102
2024-11-14,85.03,85.76,84.34,84.47,15740732,1.4200000000000017
2024-11-15,84.53,84.78,83.942,84.25,17370602,0.8380000000000081
2024-11-18,84.82,84.85,83.66,84.08,25278121,1.1899999999999977
2024-11-19,86.23,88.29,85.91,86.6,36340856,2.3800000000000097
2024-11-20,86.6,87.2,85.91,87.18,18183193,1.2900000000000063
2024-11-21,87.45,88.64,86.93,88.39,18729222,1.7099999999999937
2024-11-22,89.41,90.91,88.93,90.44,23990645,1.9799999999999898
2024-11-25,90.5,90.95,89.06,89.5,25078633,1.8900000000000006
2024-11-26,89.89,91.88,89.84,91.31,16657022,2.039999999999992
2024-11-27,92.0,92.23,91.31,91.87,14328444,0.9200000000000017
