,Open,High,Low,Close,Volume,Daily Range
2024-07-10,887.4,890.27,880.7,884.31,1755823,9.569999999999936
2024-07-11,890.76,890.76,846.52,846.59,6021054,44.24000000000001
2024-07-12,849.89,850.0,838.38,842.9,3288384,11.620000000000005
2024-07-15,846.86,857.8999,844.67,848.73,2064036,13.229900000000043
2024-07-16,847.8,851.235,841.34,850.77,1687592,9.894999999999982
2024-07-17,848.01,849.95,842.65,846.28,1783079,7.300000000000068
2024-07-18,849.43,855.3,825.11,839.37,2338477,30.18999999999994
2024-07-19,836.51,848.88,835.56,838.13,1984385,13.32000000000005
2024-07-22,845.75,849.59,838.6,847.42,1920228,10.990000000000009
2024-07-23,848.9,854.5799,845.5786,852.11,1744123,9.001299999999901
2024-07-24,844.6,846.0,829.5,830.82,2511321,16.5
2024-07-25,835.79,836.65,814.28,815.95,2183740,22.370000000000005
2024-07-26,818.0,822.28,809.01,817.6,1441455,13.269999999999982
2024-07-29,822.56,823.74,814.09,815.56,1320420,9.649999999999977
2024-07-30,818.0,822.0,803.28,810.03,2017248,18.720000000000027
2024-07-31,820.42,825.48,811.27,822.0,2135049,14.210000000000036
2024-08-01,818.55,824.17,809.68,816.89,1861405,14.490000000000009
2024-08-02,816.2,830.285,805.0101,822.08,2598467,25.274900000000002
2024-08-05,798.0,810.82,793.0,801.83,2820885,17.82000000000005
2024-08-06,805.06,833.09,805.06,816.88,2476255,28.030000000000086
2024-08-07,824.11,833.83,809.26,810.3,1702040,24.57000000000005
2024-08-08,821.5,842.76,820.45,839.43,2345030,22.309999999999945
2024-08-09,838.5,857.771,837.63,854.93,1710588,20.140999999999963
2024-08-12,857.25,870.25,852.4,863.57,1748173,17.850000000000023
2024-08-13,864.92,868.05,856.16,864.82,1484055,11.889999999999986
2024-08-14,864.87,866.7327,858.5,862.71,1341493,8.232700000000023
2024-08-15,872.87,880.325,869.0,877.35,1923809,11.325000000000045
2024-08-16,877.35,877.35,868.62,870.59,1516332,8.730000000000018
2024-08-19,870.59,873.63,868.7,872.35,1318382,4.92999999999995
2024-08-20,872.0,876.755,871.17,876.2,1104595,5.585000000000036
2024-08-21,880.74,891.12,877.22,881.42,1465505,13.899999999999977
2024-08-22,882.3,884.0,873.18,877.56,1440919,10.82000000000005
2024-08-23,882.49,884.556,871.6684,879.21,1305753,12.88760000000002
2024-08-26,883.17,893.2499,881.4411,892.51,1737024,11.80880000000002
2024-08-27,892.69,918.928,887.07,908.9,2098899,31.857999999999947
2024-08-28,910.96,912.22,881.655,888.05,1668378,30.565000000000055
2024-08-29,891.0,900.46,885.17,886.63,1709893,15.290000000000077
2024-08-30,890.5,896.3299,883.1,892.38,1933485,13.22989999999993
2024-09-03,896.68,896.89,874.44,878.57,1784179,22.449999999999932
2024-09-04,877.45,891.755,876.5866,890.02,1423134,15.16840000000002
2024-09-05,888.63,888.63,868.7,885.98,1998837,19.92999999999995
2024-09-06,891.261,893.2,871.0,876.68,2074604,22.200000000000045
2024-09-09,884.74,898.8316,881.7,896.49,1953977,17.131599999999935
2024-09-10,892.6,900.69,887.5201,894.29,1360818,13.169900000000098
2024-09-11,895.0,902.0,877.87,900.4,1796084,24.129999999999995
2024-09-12,900.42,915.7,896.51,915.03,1868674,19.190000000000055
2024-09-13,913.63,923.8299,909.36,916.0,1327509,14.469899999999939
2024-09-16,922.0,922.63,905.35,907.87,1661046,17.279999999999973
