,Open,High,Low,Close,Volume,Daily Range
2024-07-09,177.6,177.7,175.58,176.48,2513305,2.119999999999976
2024-07-10,176.6,178.22,174.45,177.84,3462182,3.7700000000000102
2024-07-11,177.65,179.44,176.62,178.31,2807145,2.819999999999993
2024-07-12,178.56,184.16,178.5,182.83,4785565,5.659999999999997
2024-07-15,183.38,184.9,182.6,182.88,2925794,2.3000000000000114
2024-07-16,184.67,186.6,184.52,185.81,3374526,2.079999999999984
2024-07-17,185.44,187.94,185.07,187.45,4225302,2.8700000000000045
2024-07-18,186.64,189.47,185.1,185.22,3487808,4.3700000000000045
2024-07-19,186.33,187.0,181.95,183.25,3816039,5.050000000000011
2024-07-22,183.4,184.97,182.86,184.15,2488525,2.109999999999985
2024-07-23,184.36,185.38,183.01,184.1,2180225,2.3700000000000045
2024-07-24,184.14,185.0714,183.145,184.02,6962071,1.926400000000001
2024-07-25,186.8,196.26,185.3,191.98,9532802,10.95999999999998
2024-07-26,190.51,193.57,189.622,191.75,4294875,3.947999999999979
2024-07-29,193.18,193.29,189.18,191.5,3336806,4.109999999999985
2024-07-30,191.48,192.77,189.09,191.04,3064978,3.680000000000007
2024-07-31,191.0,194.5499,189.99,192.14,5558405,4.559899999999999
2024-08-01,192.81,193.635,188.29,189.66,4085354,5.344999999999999
2024-08-02,188.78,189.26,185.7,189.12,4548824,3.5600000000000023
2024-08-05,184.55,185.255,181.81,183.31,4975002,3.444999999999993
2024-08-06,184.7,188.9,183.64,186.8,3632517,5.260000000000019
2024-08-07,188.08,189.87,186.7,186.8,3801942,3.170000000000016
2024-08-08,187.5,192.88,187.0,192.61,3712698,5.8799999999999955
2024-08-09,191.18,192.63,189.04,191.45,2773706,3.5900000000000034
2024-08-12,191.25,191.5761,189.0001,189.48,2290421,2.5759999999999934
2024-08-13,190.29,191.31,189.21,190.99,2178862,2.0999999999999943
2024-08-14,191.15,193.09,190.73,192.32,1895114,2.3600000000000136
2024-08-15,193.51,194.25,193.28,193.95,2471985,0.9699999999999989
2024-08-16,193.58,194.35,192.86,193.78,2494472,1.4899999999999807
2024-08-19,193.84,195.525,193.715,194.73,2361378,1.8100000000000023
2024-08-20,194.59,196.21,193.75,196.03,1790371,2.460000000000008
2024-08-21,195.97,197.33,194.115,197.21,2579343,3.2150000000000034
2024-08-22,197.25,197.92,195.57,195.96,1969496,2.3499999999999943
2024-08-23,196.79,197.38,194.39,196.1,2321961,2.990000000000009
2024-08-26,196.0,198.345,195.9,197.98,2567217,2.444999999999993
2024-08-27,197.44,199.4,196.97,198.73,2617229,2.430000000000007
2024-08-28,199.0,200.0,197.49,198.46,2645244,2.509999999999991
2024-08-29,199.3,201.12,198.27,198.9,2989594,2.8499999999999943
2024-08-30,199.11,202.17,198.73,202.13,4750999,3.4399999999999977
2024-09-03,201.91,204.72,200.21,201.28,3874697,4.509999999999991
2024-09-04,200.76,204.36,200.5,204.11,3111332,3.8600000000000136
2024-09-05,204.08,205.95,200.96,202.59,3229345,4.989999999999981
2024-09-06,202.38,204.1,199.335,200.74,3304491,4.764999999999986
2024-09-09,201.94,205.05,201.43,203.53,3705004,3.6200000000000045
2024-09-10,204.2,205.83,202.87,205.32,3070644,2.960000000000008
2024-09-11,207.76,210.12,203.04,209.89,5554309,7.0800000000000125
2024-09-12,210.0,212.65,208.265,211.61,4616446,4.385000000000019
2024-09-13,212.48,216.09,212.13,214.79,4572344,3.960000000000008
2024-09-16,215.88,217.9,215.52,217.16,4176257,2.3799999999999955
2024-09-17,217.25,218.84,213.0,214.13,5635210,5.840000000000003
2024-09-18,214.13,216.86,213.59,214.94,3482764,3.2700000000000102
2024-09-19,218.01,218.48,210.37,213.89,5279559,8.109999999999985
2024-09-20,214.33,217.85,213.74,217.7,9958980,4.109999999999985
2024-09-23,218.0,220.62,217.27,220.5,4074755,3.3499999999999943
2024-09-24,219.78,221.19,218.16,220.97,3184114,3.030000000000001
2024-09-25,221.17,221.85,220.16,221.23,2537751,1.6899999999999977
2024-09-26,222.11,224.0,221.355,223.43,2673210,2.6450000000000102
2024-09-27,223.0,224.15,220.77,220.84,3830335,3.3799999999999955
2024-09-30,220.65,221.32,219.02,221.08,3544264,2.299999999999983
2024-10-01,220.63,221.1,215.9,219.35,3548374,5.199999999999989
2024-10-02,218.31,220.2,215.798,219.73,3343399,4.401999999999987
2024-10-03,219.5,222.83,219.27,222.72,3788265,3.5600000000000023
2024-10-04,223.75,226.08,223.27,226.0,3554328,2.8100000000000023
2024-10-07,225.38,227.67,225.02,227.12,3457952,2.6499999999999773
2024-10-08,228.11,229.345,227.0401,228.62,3245342,2.3049000000000035
2024-10-09,229.2,234.95,228.5,234.3,5083566,6.449999999999989
2024-10-10,235.1,235.83,231.81,233.02,3142031,4.02000000000001
2024-10-11,233.25,233.44,230.46,233.26,3469322,2.9799999999999898
2024-10-14,233.57,236.12,233.17,235.26,2524389,2.950000000000017
2024-10-15,236.4,237.37,232.71,232.96,3350556,4.659999999999997
2024-10-16,232.11,233.88,231.12,233.67,2846669,2.759999999999991
2024-10-17,232.0,233.145,230.655,232.88,5040092,2.490000000000009
2024-10-18,231.92,232.6499,230.17,232.2,4715688,2.479900000000015
2024-10-21,231.21,232.42,230.26,231.75,2733336,2.1599999999999966
2024-10-22,231.99,232.97,230.67,232.25,3180807,2.3000000000000114
2024-10-23,230.41,233.34,230.26,232.75,5791002,3.0800000000000125
2024-10-24,220.8,221.32,216.16,218.39,11193440,5.159999999999997
2024-10-25,216.8,218.65,214.385,214.67,8482235,4.265000000000015
2024-10-28,215.5,216.25,212.7,212.91,4993343,3.5500000000000114
2024-10-29,211.99,213.34,209.85,210.43,5258366,3.490000000000009
2024-10-30,209.48,211.12,204.26,204.9,6956624,6.860000000000014
2024-10-31,204.13,208.13,203.51,206.72,5925250,4.6200000000000045
2024-11-01,207.77,209.84,207.41,208.25,3334308,2.430000000000007
2024-11-04,207.65,207.7,205.8,206.32,2594119,1.8999999999999773
2024-11-05,206.17,208.115,205.57,207.57,2441535,2.545000000000016
2024-11-06,213.48,214.33,210.37,213.6,3934386,3.960000000000008
2024-11-07,213.64,214.5199,211.93,213.69,3675812,2.5899
2024-11-08,214.16,216.7,212.7809,213.72,3201038,3.919099999999986
2024-11-11,214.4,215.41,213.48,213.57,3012987,1.9300000000000068
2024-11-12,211.9,213.03,209.06,210.86,2818216,3.969999999999999
2024-11-13,209.5,211.41,209.0701,210.92,3247830,2.3399
2024-11-14,210.0,210.4999,206.35,208.99,6372853,4.149900000000002
2024-11-15,207.46,208.49,204.07,204.99,3986460,4.420000000000016
2024-11-18,207.0,208.415,205.3701,208.09,3406045,3.044899999999984
2024-11-19,206.5,210.33,206.19,210.25,2860746,4.140000000000015
2024-11-20,211.0,214.96,209.7725,214.6,4562901,5.1875
2024-11-21,215.81,222.63,215.2701,222.4,5236434,7.359899999999982
2024-11-22,223.35,227.2,220.89,222.97,5320740,6.310000000000002
2024-11-25,223.35,226.42,222.65,226.13,7189260,3.769999999999982
2024-11-26,226.73,228.98,225.5115,228.83,4449543,3.4684999999999775
